,seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,chi,sharp,Jvar,Kvar,Lvar,Kamp,Var_Status
1,16707,17.963,0.0701,17.133,0.0198,16.686,0.0254,1.333, 0.518, 3.473, 0.942, 4.100, 0.363,1
2,18468,99.999,9.9999,99.999,9.9999,17.990,0.2634,1.535, 1.131, 3.934, 0.920, 4.535, 1.462,1
3,19086,18.975,0.1687,17.968,0.2616,17.945,0.0691,0.788,-0.288, 4.828, 0.955, 5.782, 0.584,1
4, 1189,20.928,0.1792,19.093,0.4665,17.567,0.0725,0.809,-0.965, 5.817, 0.973, 7.094, 0.619,1
5,18133,18.930,0.2629,18.227,0.0489,17.237,0.0903,1.425, 0.847, 4.114, 0.940, 4.845, 0.761,1
6,14752,19.093,0.4470,17.756,0.0204,16.838,0.0900,1.283, 0.592, 9.457, 0.981,11.626, 0.843,1
7,17501,19.338,0.2378,18.295,0.0986,17.138,0.0604,2.060, 2.890, 4.161, 0.915, 4.771, 0.888,1
8, 6905,19.670,0.2009,18.542,0.1256,18.138,0.0911,0.922,-0.189, 3.949, 0.965, 4.778, 0.879,1
9,17762,17.575,0.0871,17.154,0.0587,17.733,0.2356,3.969, 2.248, 3.805, 0.846, 4.035, 2.666,1
10, 5619,19.355,0.2762,18.409,0.0582,18.267,0.0690,0.756,-0.666, 3.489, 0.966, 4.222, 0.715,1
11,17014,18.517,0.1103,17.848,0.1733,17.500,0.0405,1.055, 1.247, 3.334, 0.959, 4.008, 0.430,1
12, 5124,19.197,0.1433,18.214,0.1925,17.593,0.0892,0.924,-1.682, 6.153, 0.966, 7.448, 0.784,1
13, 1138,18.743,0.2053,17.992,0.0193,17.337,0.0703,0.938, 0.457, 5.393, 0.932, 6.299, 0.636,1
14,10054,18.191,0.0522,17.394,0.0291,16.770,0.0511,1.316, 0.841, 5.493, 0.933, 6.426, 0.778,1
15, 8799,18.028,0.1161,17.237,0.0385,17.049,0.0498,1.195, 0.628, 6.818, 0.963, 8.226, 0.659,1
16,17246,19.350,0.0428,18.394,0.0344,17.227,0.0456,0.983,-0.884, 3.832, 0.898, 4.311, 0.526,1
17,18444,18.297,0.1608,17.634,0.0235,17.217,0.0997,1.349, 0.308, 5.640, 0.992, 7.013, 0.708,1
18,19002,99.999,9.9999,99.999,9.9999,17.045,0.1801,1.697, 1.647, 4.972, 0.949, 5.916, 0.678,1
19, 2771,18.407,0.1458,17.311,0.3233,16.751,0.0616,1.261, 1.464, 6.355, 0.962, 7.659, 0.531,1
20, 6215,18.713,0.0212,17.629,0.0192,17.670,0.0761,1.031,-0.363, 4.104, 0.951, 4.893, 0.646,1
21,14003,18.529,0.1351,17.457,0.0580,17.220,0.0359,1.034, 0.559, 3.608, 0.949, 4.293, 0.338,1
22,10314,18.762,0.1988,18.122,0.0800,17.350,0.0514,1.030,-0.470, 6.978, 0.931, 8.138, 0.604,1
23,11748,18.072,0.0682,17.058,0.0300,16.757,0.0345,1.144, 0.234, 3.565, 0.991, 4.426, 0.288,1
24,  575,17.854,0.1320,16.828,0.1957,16.194,0.0324,1.594, 0.655, 3.424, 0.954, 4.093, 0.260,1
25, 9124,17.544,0.2554,17.134,0.0245,16.364,0.0505,1.409, 0.498, 8.170, 0.935, 9.571, 0.657,1
26, 2831,18.445,0.1069,17.474,0.2471,17.179,0.0534,0.952, 0.361, 5.254, 0.976, 6.429, 0.472,1
27, 2172,17.452,0.0835,16.336,0.0602,15.926,0.0363,1.358,-0.305, 4.108, 0.952, 4.899, 0.317,1
28,11666,15.413,0.0522,14.646,0.0854,14.261,0.0347,2.282, 0.017, 6.510, 0.966, 7.885, 0.282,1
29, 4056,18.634,0.2405,17.484,0.3916,17.312,0.0538,0.827,-0.261, 8.193, 0.966, 9.915, 0.563,1
30,11553,15.777,0.0651,14.964,0.0912,14.587,0.0179,2.576, 0.243, 3.488, 0.943, 4.123, 0.159,1
31,18184,18.339,0.4853,17.284,0.6905,16.502,0.0957,1.679,-0.127,11.325, 0.936,13.290, 0.889,1
32, 6970,18.121,0.4120,17.762,0.0194,17.066,0.0546,1.170, 0.351, 6.459, 0.958, 7.758, 0.680,1
33, 2935,18.433,0.0941,17.523,0.2516,17.380,0.0520,1.029, 0.959, 4.446, 0.958, 5.339, 0.500,1
